nombre_organizacion,sector_organizacion,pais_organizacion,tamano_empleados_organizacion,codigo_brecha,fecha_ocurrencia,fecha_deteccion,vector_ataque,severidad_incidente,registros_afectados_total,costo_estimado_total,codigo_usuario,pseudonimo_usuario,email_hash_usuario,pais_residencia_usuario,fecha_registro_usuario,tipo_dato_expuesto,categoria_sensibilidad_dato,fecha_notificacion_usuario
Reed-Weiss,Gobierno,Uruguay,100,BR-00402,2025-03-15,2025-07-27,Phishing,Media,1351990,8868016.96,US-000851,user_vwest_850,756d99739c86c58e0031100666a8d920,Argentina,2021-02-18,Direccion Fisica,Media,2025-09-10
"Gibson, Lowe and Lawson",Tecnologia,Uruguay,25000,BR-00171,2021-11-16,2022-02-27,Insider Malicioso,Media,209281,766167.02,US-003639,user_randywatson_3638,a3aa8070c3dd5703feec314466344e95,Ecuador,2025-11-23,Correo Electronico,Media,2022-03-19
Adams LLC,Tecnologia,Mexico,2500,BR-00098,2023-02-16,2023-10-10,Credenciales Filtradas de Terceros,Critica,1753497,7650165.2,US-005611,user_ywilson_5610,27bbb4e5191d64bff6193c788d2f02ba,Chile,2026-05-28,Numero de Identificacion,Alta,2023-10-11
Farmer-Hurst,Manufactura,Espana,500,BR-00444,2021-11-06,2022-03-22,Ataque a Cadena de Suministro,Critica,3274167,1850769.44,US-005045,user_marshmary_5044,f6c01210c387ff75ac88b74d2d0ad3fe,Chile,2025-05-26,Numero de Identificacion,Alta,2022-04-09
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00552,2025-07-22,2025-10-24,Explotacion de Vulnerabilidad Sin Parche,Media,1853671,8467708.53,US-004169,user_swillis_4168,a45c1353107f218d17c32e73c6ad535e,Mexico,2022-05-18,Numero de Identificacion,Alta,2026-01-06
"Mitchell, Reyes and Bender",Telecomunicaciones,Ecuador,10000,BR-00040,2023-12-22,2024-02-06,Inyeccion SQL,Baja,1011615,8654572.8,US-001026,user_bakermark_1025,6a980f628b42ee4568f630a52bd3c22c,Colombia,2018-03-02,Numero Telefonico,Baja,2024-04-02
Walton LLC,Salud,Espana,2500,BR-00187,2026-03-04,2026-03-10,Ataque de Fuerza Bruta,Baja,4495331,15161474.66,US-007235,user_jrussell_7234,d0eb2f02886b745b299e0903bef35aa4,Colombia,2023-01-05,Contrasena,Alta,2026-06-07
Pierce-Roberts,Telecomunicaciones,Costa Rica,25000,BR-00362,2025-01-31,2025-08-23,Configuracion Erronea de Servidor,Critica,1289981,18441579.29,US-007888,user_nancy13_7887,716d975b7fa6347beb3ae367e995c1dd,Colombia,2022-05-25,Numero de Identificacion,Alta,2025-08-29
Cruz PLC,Gobierno,Peru,100,BR-00629,2021-11-18,2022-03-14,Insider Malicioso,Critica,1597400,1720752.29,US-001354,user_corey38_1353,49d61864fa2d58bf21c2c7c712465aa0,Ecuador,2026-07-26,Numero de Identificacion,Alta,2022-05-20
"Jefferson, Smith and Wilkerson",Telecomunicaciones,Peru,10000,BR-00606,2022-08-02,2022-11-14,Malware,Media,4232967,11994434.44,US-005825,user_jessicahanson_5824,d8d04264c614177bf188ccb6da028089,Costa Rica,2024-10-01,Fecha de Nacimiento,Baja,2022-11-17
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00747,2024-10-18,2024-11-20,Explotacion de Vulnerabilidad Sin Parche,Critica,4250303,24766546.11,US-005066,user_zhernandez_5065,13e45897fc9029d534c52f4bacdb4b1d,Estados Unidos,2023-11-24,Fecha de Nacimiento,Baja,2024-11-28
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00657,2023-01-23,2023-05-28,Credenciales Filtradas de Terceros,Critica,1111748,2556216.43,US-001425,user_derrick42_1424,b0deb5e8fdb6b72bd3c6acd12f36a20d,Costa Rica,2022-06-14,Numero de Tarjeta de Credito,Critica,2023-06-13
Freeman-Martin,Educacion,Colombia,2500,BR-00738,2024-08-01,2024-11-25,Credenciales Filtradas de Terceros,Critica,286888,17143839.85,US-006776,user_juliecoleman_6775,3f58c966be303a329e7a651508375fb3,Mexico,2022-01-16,Direccion Fisica,Media,2024-12-29
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00099,2023-11-19,2024-05-29,Ransomware,Alta,1213282,21104007.57,US-006826,user_torresbrianna_6825,00affa0d6d1e44cecd08a8d029acac44,Mexico,2021-10-31,Correo Electronico,Media,2024-06-27
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00799,2021-10-13,2022-02-15,Insider Malicioso,Alta,3450680,15374815.41,US-001859,user_johnsoncolleen_1858,8d3885b8ee81103d34b3a6e3fe88e348,Uruguay,2023-02-24,Fecha de Nacimiento,Baja,2022-03-13
Lynn-Garcia,Energia,Mexico,25000,BR-00571,2022-05-10,2022-09-09,Explotacion de Vulnerabilidad Sin Parche,Baja,238123,19306851.33,US-006604,user_singletonbrian_6603,d9fb05a6d56b5413b556fc80b429ed60,Uruguay,2022-09-12,Numero Telefonico,Baja,2022-09-23
"Gibson, Lowe and Lawson",Tecnologia,Uruguay,25000,BR-00070,2026-07-20,2026-09-22,Explotacion de Vulnerabilidad Sin Parche,Media,3955317,2205048.82,US-005054,user_angela43_5053,4b3e0f1e37d01d76a686120e91709813,Mexico,2026-06-02,Numero Telefonico,Baja,2026-09-22
Collins-Harris,Educacion,Peru,1000,BR-00322,2024-03-14,2024-10-01,Configuracion Erronea de Servidor,Alta,3745894,20712728.42,US-007680,user_hmorrow_7679,ab50547e0be6fd3853e27bcbd78d50ed,Espana,2016-11-28,Correo Electronico,Media,2024-11-30
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00259,2025-12-01,2026-01-25,Configuracion Erronea de Servidor,Baja,3244684,6615974.89,US-006289,user_ndunn_6288,f8160d51a0188e99da519adab5170a9b,Estados Unidos,2023-01-23,Numero Telefonico,Baja,2026-03-29
Conrad PLC,Gobierno,Peru,50,BR-00401,2023-08-16,2023-08-26,Explotacion de Vulnerabilidad Sin Parche,Critica,4774944,23692766.32,US-004200,user_anthony62_4199,43af2861b125d65f600ec9e850aee536,Costa Rica,2025-09-20,Nombre Completo,Baja,2023-11-04
Lynn-Garcia,Energia,Mexico,25000,BR-00341,2024-04-14,2024-11-28,Insider Malicioso,Critica,3004117,16637694.24,US-002579,user_kdiaz_2578,8d86d4dbeda53f4ab72738ad5c9d1079,Panama,2025-05-31,Contrasena,Alta,2025-01-07
Perkins Inc,Telecomunicaciones,Costa Rica,10000,BR-00130,2025-05-01,2025-07-22,Explotacion de Vulnerabilidad Sin Parche,Alta,4484630,6689646.16,US-007713,user_douglas38_7712,e44bb18640550dec5d2be3c86d36a6b8,Uruguay,2021-11-26,Numero de Tarjeta de Credito,Critica,2025-08-01
Little-Garcia,Manufactura,Panama,50,BR-00787,2025-05-09,2025-10-15,Phishing,Media,869712,20231692.66,US-001636,user_mitchell56_1635,539ed39dddc81231c739f3488dee3d9a,Argentina,2025-08-04,Direccion Fisica,Media,2025-12-26
Martinez Ltd,Retail,Estados Unidos,100,BR-00312,2022-09-04,2023-01-25,Configuracion Erronea de Servidor,Media,1440359,19101702.31,US-000909,user_trichardson_908,fddc75437cb52885aac240425abbf687,Brasil,2023-08-11,Contrasena,Alta,2023-02-09
Adams LLC,Tecnologia,Mexico,2500,BR-00098,2023-02-16,2023-10-10,Credenciales Filtradas de Terceros,Critica,1753497,7650165.2,US-007624,user_padillaanthony_7623,2277d327d52eabfc750de06aadd0a28d,Ecuador,2022-01-08,Contrasena,Alta,2023-11-11
Walton LLC,Salud,Espana,2500,BR-00682,2026-07-17,2026-09-22,Configuracion Erronea de Servidor,Alta,1849392,21415321.13,US-007405,user_sean92_7404,934588f828223a069edd3e5145ce7497,Uruguay,2023-09-10,Contrasena,Alta,2026-09-22
Gallegos-Wilkerson,Salud,Panama,25000,BR-00525,2024-06-20,2025-01-26,Ransomware,Critica,312524,19280835.99,US-003549,user_sweaver_3548,c986fc3e2973d5b3898d4bbc618c6cef,Colombia,2023-05-22,Historial Medico,Critica,2025-04-04
"Mitchell, Reyes and Bender",Telecomunicaciones,Ecuador,10000,BR-00590,2025-05-29,2025-06-02,Explotacion de Vulnerabilidad Sin Parche,Media,3687974,8260219.9,US-001794,user_craig13_1793,ad3e5125034a9321811e84132abce797,Ecuador,2021-04-14,Fecha de Nacimiento,Baja,2025-06-10
"Clark, Cox and Schmidt",Finanzas,Brasil,25000,BR-00216,2025-01-03,2025-02-03,Insider Malicioso,Baja,475180,16796809.33,US-005471,user_dale62_5470,682b2a8652805cedc1999a4cbecbf9ad,Chile,2024-09-01,Nombre Completo,Baja,2025-04-09
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00037,2025-12-15,2026-04-11,Ataque a Cadena de Suministro,Alta,4359577,2024513.02,US-005017,user_zdunn_5016,69f5a5732c6ca350f65da9d2b1203bd0,Costa Rica,2025-01-09,Contrasena,Alta,2026-04-20
"Richardson, Velasquez and Wilson",Tecnologia,Espana,250,BR-00464,2025-04-14,2025-08-22,Explotacion de Vulnerabilidad Sin Parche,Critica,554783,23747209.29,US-003392,user_benjamin42_3391,deac7f1aadf3aa6025c63447ec4bac06,Espana,2025-07-29,Numero de Identificacion,Alta,2025-11-13
Collins-Harris,Educacion,Peru,1000,BR-00673,2024-03-20,2024-04-12,Phishing,Alta,4965148,5215425.09,US-007312,user_dawnlewis_7311,9fd5a3cbce91fdc0e15d3000228a00bf,Estados Unidos,2025-03-03,Numero de Tarjeta de Credito,Critica,2024-04-30
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00611,2023-08-01,2023-08-26,Ransomware,Baja,2209043,5693408.11,US-000564,user_whitemichael_563,c0353c37d92c03b38652c384c5f91b43,Espana,2024-06-23,Numero Telefonico,Baja,2023-10-01
Ward Ltd,Finanzas,Chile,50,BR-00757,2023-02-06,2023-04-12,Credenciales Filtradas de Terceros,Media,4805372,4320886.12,US-004010,user_michelle06_4009,ae70bb24b973d82b40bd941fdd176bf2,Peru,2017-11-01,Fecha de Nacimiento,Baja,2023-07-03
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00078,2026-08-14,2026-09-22,Inyeccion SQL,Critica,3037682,13605172.57,US-007360,user_james49_7359,bac126d9b506224b85ffb882c411213f,Uruguay,2022-01-02,Contrasena,Alta,2026-09-22
Cruz PLC,Gobierno,Peru,100,BR-00295,2026-07-14,2026-09-22,Ataque a Cadena de Suministro,Critica,4339112,21302169.82,US-005741,user_morganandrew_5740,5b753b6951b0a70517fdde5e6b91d3c2,Chile,2020-05-11,Fecha de Nacimiento,Baja,2026-09-22
Reed-Weiss,Gobierno,Uruguay,100,BR-00173,2022-06-02,2022-09-05,Credenciales Filtradas de Terceros,Alta,4645499,19959440.09,US-006388,user_kristina82_6387,2653e7a53f1ea181f677be58e9ca7d10,Chile,2018-01-22,Numero de Tarjeta de Credito,Critica,2022-11-05
Conrad PLC,Gobierno,Peru,50,BR-00537,2022-05-12,2023-01-06,Ataque de Fuerza Bruta,Critica,118839,18300501.47,US-003688,user_huntlaurie_3687,2f0679cea1f310e292396275f0637637,Espana,2024-03-12,Numero de Identificacion,Alta,2023-01-19
Kemp-Perez,Finanzas,Costa Rica,100,BR-00661,2023-10-16,2024-01-10,Phishing,Media,1371378,8042032.09,US-004293,user_jamie84_4292,72ff4af4551573662163cc67d485e9f8,Panama,2022-12-15,Historial de Transacciones,Alta,2024-02-26
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00739,2024-04-04,2024-08-06,Malware,Baja,1139702,20616641.93,US-007360,user_james49_7359,bac126d9b506224b85ffb882c411213f,Uruguay,2022-01-02,Fecha de Nacimiento,Baja,2024-08-28
"Chambers, Ward and Melendez",Gobierno,Mexico,25000,BR-00527,2023-07-10,2023-07-25,Phishing,Alta,4414027,7349682.28,US-002348,user_mirandamiller_2347,788c48105a87cf57f12b4b80ff97df08,Brasil,2017-09-09,Numero de Identificacion,Alta,2023-10-03
Little-Garcia,Manufactura,Panama,50,BR-00155,2026-01-15,2026-03-17,Inyeccion SQL,Baja,3835688,24107601.41,US-002070,user_egordon_2069,11183926e4491cfba465fab71f35aecd,Colombia,2020-10-04,Correo Electronico,Media,2026-04-20
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00400,2024-02-25,2024-05-22,Configuracion Erronea de Servidor,Baja,3669769,2508503.98,US-005393,user_michaelpowell_5392,8acda9c6f3960e9c0535ad32b3185d0b,Chile,2024-05-30,Correo Electronico,Media,2024-06-07
Cruz PLC,Gobierno,Peru,100,BR-00629,2021-11-18,2022-03-14,Insider Malicioso,Critica,1597400,1720752.29,US-007404,user_mary44_7403,abcc2331126528dc6c6d3623befcca3c,Argentina,2023-03-25,Fecha de Nacimiento,Baja,2022-04-22
"Acosta, Williams and Mcmillan",Energia,Costa Rica,25000,BR-00617,2026-03-16,2026-09-22,Configuracion Erronea de Servidor,Alta,2731857,19162262.42,US-003698,user_byrdbarbara_3697,0261f0bae07cd51db158a39516b3119c,Uruguay,2023-10-19,Numero Telefonico,Baja,2026-09-22
Walton LLC,Salud,Espana,2500,BR-00575,2023-01-22,2023-03-29,Credenciales Filtradas de Terceros,Alta,2295939,12318958.33,US-000024,user_nwood_23,cbff84cec336d203d43e8387ec65d9c6,Ecuador,2019-01-26,Direccion Fisica,Media,2023-06-02
"Norton, Foster and Pacheco",Energia,Estados Unidos,1000,BR-00749,2026-09-01,2026-09-22,Ransomware,Critica,3739856,21125544.12,US-006676,user_brandon09_6675,c63c360aacb59f0ce4b61648c4a75513,Ecuador,2018-07-26,Numero de Tarjeta de Credito,Critica,2026-09-22
Coleman Ltd,Turismo,Estados Unidos,50000,BR-00294,2023-08-06,2024-01-31,Credenciales Filtradas de Terceros,Media,399438,15286447.21,US-004301,user_shellyray_4300,4ab3b57105e65a0807f6c12d67161419,Costa Rica,2021-04-18,Numero de Tarjeta de Credito,Critica,2024-02-29
Perkins Inc,Telecomunicaciones,Costa Rica,10000,BR-00019,2025-09-20,2026-01-24,Credenciales Filtradas de Terceros,Alta,4885304,20995585.74,US-007865,user_ricardo91_7864,ec408634d546a72af77cd2804044d3db,Panama,2024-05-08,Direccion Fisica,Media,2026-03-16
Pierce-Roberts,Telecomunicaciones,Costa Rica,25000,BR-00362,2025-01-31,2025-08-23,Configuracion Erronea de Servidor,Critica,1289981,18441579.29,US-006731,user_davidsonkimberly_6730,fe9ee5bebdd8f849be4202940e8eeeb0,Peru,2017-10-24,Contrasena,Alta,2025-11-11
Powell Ltd,Gobierno,Brasil,50,BR-00050,2024-07-20,2025-01-05,Configuracion Erronea de Servidor,Alta,3832048,23648604.88,US-005114,user_hblake_5113,061880585d85f18625e95952aeb038e7,Uruguay,2017-09-29,Historial Medico,Critica,2025-01-31
"Chambers, Ward and Melendez",Gobierno,Mexico,25000,BR-00433,2023-04-11,2023-04-20,Ataque de Fuerza Bruta,Baja,1978174,23017127.77,US-003049,user_charles29_3048,7c55bea1a0a370c40a2fdcdc881e1e3b,Peru,2019-11-01,Numero Telefonico,Baja,2023-06-18
"Gibson, Lowe and Lawson",Tecnologia,Uruguay,25000,BR-00123,2022-07-01,2023-02-09,Explotacion de Vulnerabilidad Sin Parche,Media,4755110,236326.99,US-005055,user_johnsonstephen_5054,bedf013ef8390c161f1eef847254995b,Costa Rica,2021-02-17,Numero de Identificacion,Alta,2023-04-02
"Boone, Cole and Aguilar",Retail,Peru,2500,BR-00526,2025-05-05,2025-05-09,Explotacion de Vulnerabilidad Sin Parche,Alta,3615028,1972098.18,US-006383,user_jennifer93_6382,27a99b2ebb6b2e295a5165bb19d8616c,Panama,2022-07-30,Contrasena,Alta,2025-05-10
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00459,2025-02-16,2025-07-23,Ataque a Cadena de Suministro,Alta,1456887,24413354.86,US-004882,user_fcooper_4881,03c2abf0f36e73721076c1b741ff98b3,Costa Rica,2018-04-01,Contrasena,Alta,2025-09-22
"Fox, Odom and Colon",Retail,Chile,50000,BR-00096,2022-10-26,2023-02-25,Credenciales Filtradas de Terceros,Critica,907535,3937386.49,US-002869,user_charlesbennett_2868,d20a47d24edcf895f32f61074f8a690a,Costa Rica,2021-11-10,Correo Electronico,Media,2023-03-11
Pierce-Roberts,Telecomunicaciones,Costa Rica,25000,BR-00362,2025-01-31,2025-08-23,Configuracion Erronea de Servidor,Critica,1289981,18441579.29,US-000741,user_allison20_740,874ec1b1a1a0fd63779b8f424ab68c9f,Mexico,2026-02-02,Nombre Completo,Baja,2025-09-16
Perkins Inc,Telecomunicaciones,Costa Rica,10000,BR-00356,2026-01-18,2026-03-03,Configuracion Erronea de Servidor,Baja,821051,15383659.3,US-002721,user_hughesgary_2720,36267fd6aff1c19ba59a35379e806195,Brasil,2018-03-03,Historial de Transacciones,Alta,2026-03-12
Cruz PLC,Gobierno,Peru,100,BR-00569,2024-08-15,2024-09-03,Ransomware,Media,4413524,18060505.88,US-004521,user_kylevillegas_4520,04d324202e6b07f8fb38f9e618c00ba2,Chile,2022-01-03,Historial de Transacciones,Alta,2024-09-15
Johnson Group,Tecnologia,Uruguay,50000,BR-00034,2022-10-06,2023-02-21,Malware,Media,807885,18007544.09,US-005070,user_aaroncohen_5069,663d89450769aaa307af9e2331e40ea5,Brasil,2020-03-01,Numero de Tarjeta de Credito,Critica,2023-03-17
"Fox, Odom and Colon",Retail,Chile,50000,BR-00096,2022-10-26,2023-02-25,Credenciales Filtradas de Terceros,Critica,907535,3937386.49,US-007721,user_margarethurst_7720,a97f40a742de04e00167637d7781feb9,Brasil,2017-12-15,Numero Telefonico,Baja,2023-03-19
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00750,2022-09-09,2023-04-08,Explotacion de Vulnerabilidad Sin Parche,Critica,4277743,20475765.75,US-004590,user_powellrandy_4589,b50923d98e062304a9ce19d06c18cdbf,Mexico,2025-09-25,Direccion Fisica,Media,2023-06-25
Baker-Stewart,Telecomunicaciones,Argentina,100,BR-00111,2022-12-11,2023-07-28,Inyeccion SQL,Critica,1820567,330125.63,US-006368,user_dwood_6367,1a1979d3b03aaaaf8e00ad7449002e8a,Argentina,2021-05-09,Nombre Completo,Baja,2023-09-04
Miller-Smith,Turismo,Mexico,50,BR-00578,2025-07-13,2026-01-01,Ataque a Cadena de Suministro,Media,159354,13988379.25,US-006165,user_danderson_6164,4c4c2f5113474b0de1f0a390255a0da4,Chile,2021-11-26,Historial Medico,Critica,2026-02-04
"Chambers, Ward and Melendez",Gobierno,Mexico,25000,BR-00722,2024-06-20,2024-09-08,Credenciales Filtradas de Terceros,Critica,4579372,21827408.47,US-002982,user_destiny54_2981,056c4ed91af58575159e9b1a205f840e,Mexico,2020-03-21,Correo Electronico,Media,2024-10-02
Hughes LLC,Tecnologia,Argentina,25000,BR-00486,2026-02-28,2026-07-26,Malware,Critica,1319607,20757985.65,US-001752,user_gallagherkim_1751,44e16735a356e0e31e99c35b055a4edf,Panama,2025-06-25,Nombre Completo,Baja,2026-08-11
"Murphy, Ashley and Hutchinson",Salud,Ecuador,10000,BR-00105,2023-05-30,2023-12-10,Ataque de Fuerza Bruta,Baja,3982557,8343808.12,US-004517,user_andre70_4516,4246032ba2592bd9f4d217d4ec018a02,Ecuador,2018-03-21,Nombre Completo,Baja,2024-02-25
Pierce-Roberts,Telecomunicaciones,Costa Rica,25000,BR-00662,2024-06-23,2024-09-11,Insider Malicioso,Media,3621511,21454900.79,US-007123,user_yjenkins_7122,0efa142e00884306db38b33fe2376294,Brasil,2026-04-20,Nombre Completo,Baja,2024-09-14
Bonilla-Reynolds,Gobierno,Brasil,50,BR-00249,2026-09-15,2026-09-22,Phishing,Media,132497,17204054.46,US-000914,user_joycerichard_913,71156d926e374c82529284898bfc32e2,Argentina,2026-05-09,Nombre Completo,Baja,2026-09-22
"Acosta, Williams and Mcmillan",Energia,Costa Rica,25000,BR-00347,2026-03-22,2026-04-25,Phishing,Media,4302767,8125549.59,US-000942,user_uwiggins_941,1fb1a49269a5f040339278ce0af15f7b,Costa Rica,2018-12-10,Numero de Identificacion,Alta,2026-07-09
"Norton, Foster and Pacheco",Energia,Estados Unidos,1000,BR-00451,2022-11-20,2023-01-04,Insider Malicioso,Media,4808454,3375607.66,US-000423,user_leejennifer_422,54e51a46b2bb04ffab4dafda394b511f,Argentina,2016-11-21,Fecha de Nacimiento,Baja,2023-03-25
"Weaver, Garcia and Hunter",Tecnologia,Espana,50,BR-00328,2024-08-15,2024-10-20,Phishing,Alta,493630,5516918.29,US-006632,user_paigegarcia_6631,52138b95dce5c0e1797a5fa7769b1321,Colombia,2024-02-29,Correo Electronico,Media,2024-11-17
Johnson Group,Tecnologia,Uruguay,50000,BR-00563,2022-12-11,2023-04-28,Configuracion Erronea de Servidor,Media,1110721,16048984.54,US-004199,user_jbeck_4198,81d35fc9896914881e36868e29d2065c,Chile,2020-05-15,Numero de Identificacion,Alta,2023-05-24
"Mitchell, Reyes and Bender",Telecomunicaciones,Ecuador,10000,BR-00590,2025-05-29,2025-06-02,Explotacion de Vulnerabilidad Sin Parche,Media,3687974,8260219.9,US-006034,user_amanda57_6033,e26c4484763411d6a8d8f1497ec44011,Costa Rica,2017-02-23,Contrasena,Alta,2025-08-13
Lynn-Garcia,Energia,Mexico,25000,BR-00286,2026-08-17,2026-09-22,Phishing,Alta,61937,20991661.4,US-006069,user_evanscameron_6068,c684db281622a0d064b947e9bf3713f9,Uruguay,2021-07-17,Numero de Tarjeta de Credito,Critica,2026-09-22
Bell-Williams,Retail,Colombia,250,BR-00280,2022-11-19,2023-05-14,Inyeccion SQL,Critica,2584843,18135780.81,US-002735,user_frederickcraig_2734,5c389e8e35f6206a914aef4f4afa5860,Estados Unidos,2026-07-23,Contrasena,Alta,2023-07-04
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00552,2025-07-22,2025-10-24,Explotacion de Vulnerabilidad Sin Parche,Media,1853671,8467708.53,US-006801,user_sarahjacobs_6800,88e875a218922841382bd206b24250b6,Costa Rica,2021-10-07,Historial de Transacciones,Alta,2025-11-30
"Murphy, Ashley and Hutchinson",Salud,Ecuador,10000,BR-00680,2023-06-18,2023-10-14,Ataque a Cadena de Suministro,Media,994198,3060787.0,US-002029,user_zconley_2028,d655943a0a4d55bfa1683957610e0ef6,Colombia,2017-03-16,Numero Telefonico,Baja,2023-11-21
Conrad PLC,Gobierno,Peru,50,BR-00289,2023-09-05,2024-01-11,Ataque de Fuerza Bruta,Critica,520344,17500244.79,US-000590,user_pricejoseph_589,8be2f22c4545f08cc905175c2eb85912,Espana,2025-03-26,Numero de Tarjeta de Credito,Critica,2024-02-14
"Weaver, Garcia and Hunter",Tecnologia,Espana,50,BR-00458,2024-07-12,2025-01-12,Ataque de Fuerza Bruta,Alta,2074649,2362182.74,US-000179,user_taylorfloyd_178,101797edf4fd1a2a2e3ddf1579ea1809,Peru,2022-08-22,Contrasena,Alta,2025-04-12
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00411,2025-10-04,2025-11-27,Ataque de Fuerza Bruta,Alta,847172,2556557.89,US-001141,user_lstewart_1140,74b2395bbaac3f02d1fc0bc5a91c920a,Ecuador,2020-07-09,Numero de Identificacion,Alta,2026-02-09
Hughes LLC,Tecnologia,Argentina,25000,BR-00486,2026-02-28,2026-07-26,Malware,Critica,1319607,20757985.65,US-006473,user_nichole92_6472,85ca4d9d0148c56dc4ceb2644ee0d5b5,Colombia,2022-12-08,Contrasena,Alta,2026-08-11
Bell-Williams,Retail,Colombia,250,BR-00137,2021-10-05,2021-12-27,Credenciales Filtradas de Terceros,Alta,1451683,19171823.85,US-000340,user_cynthia74_339,8ea1041e8feb75dfa41f5934f89d2440,Estados Unidos,2021-08-23,Historial de Transacciones,Alta,2022-03-22
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00794,2022-07-02,2022-10-20,Ataque de Fuerza Bruta,Alta,1374530,21710704.81,US-006180,user_ianwright_6179,c48af49ff62bd92cd6fc2c146555fb7b,Peru,2017-09-14,Historial Medico,Critica,2022-12-17
"Weaver, Garcia and Hunter",Tecnologia,Espana,50,BR-00555,2025-09-20,2026-04-10,Configuracion Erronea de Servidor,Critica,4554365,5000419.97,US-003155,user_gabriellabrown_3154,7437a44a8978ecf5bb7e914b28988fb2,Estados Unidos,2023-07-17,Fecha de Nacimiento,Baja,2026-06-02
