nombre_organizacion,sector_organizacion,pais_organizacion,tamano_empleados_organizacion,codigo_brecha,fecha_ocurrencia,fecha_deteccion,vector_ataque,severidad_incidente,registros_afectados_total,costo_estimado_total,codigo_usuario,pseudonimo_usuario,email_hash_usuario,pais_residencia_usuario,fecha_registro_usuario,tipo_dato_expuesto,categoria_sensibilidad_dato,fecha_notificacion_usuario
Reed Group,Salud,Colombia,25000,BR-00219,2026-03-22,2026-05-08,Inyeccion SQL,Baja,4357356,8230496.44,US-002299,user_drussell_2298,59f9e18a03fb7b82720eadc380e02ad9,Costa Rica,2023-08-20,Nombre Completo,Baja,2026-05-22
Farmer-Hurst,Manufactura,Espana,500,BR-00305,2024-12-10,2025-01-01,Ransomware,Critica,445822,13960872.52,US-007995,user_ycox_7994,4ce83347a591c0b431202ce79824d3e6,Mexico,2020-07-13,Numero Telefonico,Baja,2025-03-20
Vargas PLC,Gobierno,Brasil,100,BR-00264,2025-03-20,2025-05-28,Ransomware,Alta,1034579,9210344.41,US-003112,user_derekdominguez_3111,202dd9203957c1b081acf8c1e5dabfb6,Panama,2021-06-20,Direccion Fisica,Media,2025-06-29
"Jefferson, Smith and Wilkerson",Telecomunicaciones,Peru,10000,BR-00346,2021-10-20,2022-02-12,Ransomware,Baja,3669530,6978556.27,US-007650,user_smithkrystal_7649,bfc7d8cdf5813196b2c9d52d7780e2a3,Ecuador,2023-09-19,Numero de Tarjeta de Credito,Critica,2022-03-17
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00548,2023-08-10,2024-01-23,Ataque de Fuerza Bruta,Baja,2248166,15867583.53,US-001858,user_todd37_1857,e73d2da9d34918cd8d43b3a388698e73,Estados Unidos,2019-03-05,Correo Electronico,Media,2024-01-25
Goodman PLC,Turismo,Ecuador,50000,BR-00349,2022-03-13,2022-04-06,Ataque de Fuerza Bruta,Critica,2336381,8450962.26,US-001575,user_jamesjeremy_1574,5add2f00697b9f875b31976e6ae7820f,Espana,2023-12-15,Contrasena,Alta,2022-05-17
Hunt PLC,Finanzas,Ecuador,100,BR-00475,2022-06-29,2023-01-26,Inyeccion SQL,Media,3963080,24674330.56,US-001437,user_browntamara_1436,622a279df3ad4dd6fa9542eb0bbbdb22,Ecuador,2023-02-22,Numero de Tarjeta de Credito,Critica,2023-04-03
Reed-Weiss,Gobierno,Uruguay,100,BR-00173,2022-06-02,2022-09-05,Credenciales Filtradas de Terceros,Alta,4645499,19959440.09,US-003110,user_hmckinney_3109,36da0e3e575d6d641bbe45bc57673e21,Estados Unidos,2020-04-11,Correo Electronico,Media,2022-11-10
Miller-Smith,Turismo,Mexico,50,BR-00550,2023-07-28,2024-03-12,Ataque a Cadena de Suministro,Alta,3411972,8806796.69,US-004414,user_alexander27_4413,8a827b81cfc255f2b0b700889a04eb7b,Panama,2021-04-15,Fecha de Nacimiento,Baja,2024-06-04
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00685,2022-10-20,2023-01-19,Malware,Critica,2106641,11305577.86,US-003952,user_rbrown_3951,dedabc21062ed3d95abc2854b33bd920,Colombia,2016-09-28,Contrasena,Alta,2023-03-24
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00230,2026-02-21,2026-05-12,Insider Malicioso,Critica,3355790,5370821.99,US-005542,user_lwong_5541,63a952b10109479347722816950c9c11,Argentina,2020-06-06,Direccion Fisica,Media,2026-07-22
Coleman Ltd,Turismo,Estados Unidos,50000,BR-00632,2023-11-04,2024-03-05,Inyeccion SQL,Media,1943125,2028057.28,US-004984,user_ryan10_4983,8c3f31635e3bf16194b6eb6dc21a77c9,Argentina,2024-03-28,Numero de Identificacion,Alta,2024-05-22
"Clark, Cox and Schmidt",Finanzas,Brasil,25000,BR-00420,2022-06-12,2023-01-17,Insider Malicioso,Alta,2728562,21366673.86,US-001337,user_victorialong_1336,c2860df4ca5eb9282d041f66f35682ef,Argentina,2017-07-06,Historial de Transacciones,Alta,2023-03-29
Reed-Weiss,Gobierno,Uruguay,100,BR-00630,2023-02-10,2023-06-27,Insider Malicioso,Media,2702588,24789096.49,US-005676,user_william97_5675,12fe4befe85031e7ad9ca1e8973d7dba,Mexico,2025-09-19,Direccion Fisica,Media,2023-09-01
Little-Garcia,Manufactura,Panama,50,BR-00032,2022-10-29,2023-05-17,Inyeccion SQL,Baja,2833225,6879486.7,US-007008,user_obender_7007,d72cfca5391563a8497e4ab834056300,Panama,2020-02-22,Historial de Transacciones,Alta,2023-07-02
"Mack, White and Mckinney",Salud,Mexico,100,BR-00452,2024-10-07,2025-04-19,Insider Malicioso,Alta,1669052,1786942.39,US-003308,user_crystalrodriguez_3307,bd7e6d9e0136c6bb733a39b828615b40,Brasil,2024-10-09,Historial de Transacciones,Alta,2025-07-12
Cruz PLC,Gobierno,Peru,100,BR-00248,2023-01-24,2023-04-05,Phishing,Alta,769516,15291792.8,US-003388,user_rosalesjacob_3387,591c680229816c47f0f913e75d38ab70,Espana,2026-01-13,Fecha de Nacimiento,Baja,2023-06-27
Cruz PLC,Gobierno,Peru,100,BR-00417,2026-01-24,2026-04-19,Phishing,Alta,2653998,23720488.27,US-006301,user_chelseagardner_6300,7ab2873aabc20f448a3dffd4315c4876,Mexico,2021-09-19,Correo Electronico,Media,2026-07-05
"Clark, Cox and Schmidt",Finanzas,Brasil,25000,BR-00393,2025-03-11,2025-09-29,Ataque de Fuerza Bruta,Baja,4349697,2779337.61,US-001614,user_mooneyrichard_1613,11a88a21fefa462863acd5f8f99a2c7d,Argentina,2017-06-15,Contrasena,Alta,2025-11-16
"Gibson, Lowe and Lawson",Tecnologia,Uruguay,25000,BR-00354,2021-10-07,2022-04-03,Ataque a Cadena de Suministro,Critica,2665178,23402294.51,US-000118,user_tinamartinez_117,82352b1e0cf80e54eafb0459f0a2512a,Mexico,2022-03-12,Nombre Completo,Baja,2022-04-26
Freeman-Martin,Educacion,Colombia,2500,BR-00101,2022-09-05,2023-03-18,Inyeccion SQL,Alta,1964102,21313582.37,US-005416,user_swalls_5415,c24a699e8f677968e3feb0bbeeeb8c56,Espana,2022-07-25,Direccion Fisica,Media,2023-06-13
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00099,2023-11-19,2024-05-29,Ransomware,Alta,1213282,21104007.57,US-005446,user_lisa04_5445,d11edc47f6374b36d94709e932729035,Brasil,2019-09-14,Numero de Tarjeta de Credito,Critica,2024-07-20
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00645,2025-07-28,2025-10-27,Inyeccion SQL,Baja,1835654,8551126.11,US-006897,user_annette71_6896,97ca2357e6ce16bd82e385e1e0bd359e,Ecuador,2019-07-13,Nombre Completo,Baja,2026-01-08
"Stephens, Hayes and Holmes",Telecomunicaciones,Argentina,250,BR-00707,2021-12-21,2022-05-18,Inyeccion SQL,Media,3654475,16740471.61,US-002151,user_carla63_2150,b5aced78cd231102df8376579478c4d9,Argentina,2019-11-30,Fecha de Nacimiento,Baja,2022-07-11
Cruz-Schultz,Energia,Panama,50,BR-00704,2023-06-29,2023-09-13,Insider Malicioso,Alta,585376,14179869.35,US-001941,user_pmoore_1940,6a9997afa1aaabfdded6308722100207,Estados Unidos,2018-09-09,Direccion Fisica,Media,2023-10-07
"Jefferson, Smith and Wilkerson",Telecomunicaciones,Peru,10000,BR-00378,2025-02-10,2025-09-07,Configuracion Erronea de Servidor,Media,2736882,977107.93,US-004101,user_smithmichelle_4100,00c6e15b94659dc84f02f8c006348caf,Panama,2025-02-24,Numero de Identificacion,Alta,2025-10-20
Powell Ltd,Gobierno,Brasil,50,BR-00059,2024-06-01,2025-01-01,Ransomware,Alta,3413102,22923761.0,US-007797,user_ejones_7796,8c4936204600d8def2ee6eadd762c760,Panama,2022-06-09,Fecha de Nacimiento,Baja,2025-02-01
Pierce-Roberts,Telecomunicaciones,Costa Rica,25000,BR-00195,2025-04-24,2025-10-16,Credenciales Filtradas de Terceros,Critica,931482,12532348.97,US-003217,user_taylorjacob_3216,b6211e5d1caedf64f841997b50ea4473,Brasil,2018-05-24,Historial de Transacciones,Alta,2025-11-16
Johnson Group,Tecnologia,Uruguay,50000,BR-00316,2022-09-28,2022-11-18,Phishing,Baja,938284,710678.3,US-003532,user_jlopez_3531,133daa2d07edb58fe5a7daa099779ef5,Chile,2026-03-10,Historial de Transacciones,Alta,2023-01-28
Kemp-Perez,Finanzas,Costa Rica,100,BR-00186,2023-04-12,2023-09-16,Ataque a Cadena de Suministro,Media,3906904,14131968.41,US-007068,user_vsimpson_7067,cfcea3989efe3ec62c41a25be96de55a,Argentina,2025-09-28,Historial Medico,Critica,2023-10-24
Cruz PLC,Gobierno,Peru,100,BR-00448,2023-08-20,2024-01-25,Credenciales Filtradas de Terceros,Critica,86635,13136574.49,US-004331,user_christian50_4330,6dfd178c48cb4c113808f8c198d45124,Espana,2019-07-28,Correo Electronico,Media,2024-03-11
"Hunt, Brown and Hudson",Gobierno,Colombia,250,BR-00222,2024-01-17,2024-07-12,Ataque de Fuerza Bruta,Alta,4185788,18536278.42,US-000274,user_steven43_273,bac17bf0607668b47b4aad9886f07f10,Estados Unidos,2026-08-03,Historial de Transacciones,Alta,2024-07-19
Perkins Inc,Telecomunicaciones,Costa Rica,10000,BR-00498,2025-08-26,2026-04-05,Ataque a Cadena de Suministro,Alta,4185649,23534361.92,US-004183,user_carterdestiny_4182,b08d0b18ce2676ea7ccfb11d2a6e543c,Espana,2023-02-03,Nombre Completo,Baja,2026-06-20
Reed Group,Salud,Colombia,25000,BR-00092,2023-06-15,2024-01-15,Insider Malicioso,Alta,4375193,22830596.69,US-001844,user_coconnor_1843,09da2b1d463c26a073b341688187e093,Mexico,2026-07-13,Historial de Transacciones,Alta,2024-04-12
Johnson Group,Tecnologia,Uruguay,50000,BR-00727,2024-10-14,2025-01-17,Configuracion Erronea de Servidor,Alta,3990741,15999499.06,US-000442,user_thernandez_441,58c374260e5175e0eb892c9fd35279b4,Peru,2017-05-31,Historial de Transacciones,Alta,2025-03-24
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00459,2025-02-16,2025-07-23,Ataque a Cadena de Suministro,Alta,1456887,24413354.86,US-002976,user_lisa82_2975,db702c43da9021dc379c3c6deddfe86e,Argentina,2019-06-05,Nombre Completo,Baja,2025-09-08
Baker-Stewart,Telecomunicaciones,Argentina,100,BR-00481,2025-02-05,2025-08-02,Explotacion de Vulnerabilidad Sin Parche,Media,4777991,24970942.36,US-002234,user_joseph77_2233,1c7ba910768bac31d5fc814b2ffb5adb,Panama,2024-09-14,Nombre Completo,Baja,2025-10-01
Adams LLC,Tecnologia,Mexico,2500,BR-00035,2025-04-07,2025-07-28,Insider Malicioso,Media,2275240,22227768.97,US-000236,user_cookchristopher_235,a08a7c4c9c3f481c203bb61a107cb57a,Espana,2023-08-06,Correo Electronico,Media,2025-08-18
"Chambers, Ward and Melendez",Gobierno,Mexico,25000,BR-00027,2025-07-07,2026-02-02,Explotacion de Vulnerabilidad Sin Parche,Baja,3144263,13539056.11,US-006254,user_roger67_6253,987bba20bded91e4962ea3215cdcf091,Costa Rica,2021-09-09,Historial Medico,Critica,2026-04-21
Pierce-Roberts,Telecomunicaciones,Costa Rica,25000,BR-00043,2025-10-17,2026-05-26,Inyeccion SQL,Media,2975103,21734778.11,US-003010,user_vasquezdustin_3009,750f3c8e6ff2bf34ab78c10398fc6b4b,Ecuador,2017-10-07,Numero de Identificacion,Alta,2026-08-18
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00288,2025-10-02,2025-11-05,Credenciales Filtradas de Terceros,Media,1326239,5885308.62,US-005812,user_mcgeeryan_5811,fd4763935c09afbe170d9efa97beb1ed,Ecuador,2018-12-25,Fecha de Nacimiento,Baja,2026-01-23
Bell-Williams,Retail,Colombia,250,BR-00586,2024-05-28,2024-06-24,Explotacion de Vulnerabilidad Sin Parche,Alta,2820156,6545391.79,US-005495,user_zramirez_5494,2612c293aa0f0df02c8f99686e85a628,Espana,2022-02-16,Numero de Tarjeta de Credito,Critica,2024-08-07
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00723,2025-11-21,2026-05-16,Malware,Media,4096843,9940487.17,US-002952,user_mariah11_2951,dcd864c213fffb1f7df336c775eebfbd,Brasil,2021-01-05,Historial Medico,Critica,2026-07-27
Brown and Sons,Tecnologia,Chile,100,BR-00752,2022-12-28,2023-02-28,Ataque a Cadena de Suministro,Media,280737,1798582.38,US-000486,user_mary95_485,dff600d3678f3336375837c73c395e1d,Argentina,2020-09-22,Historial Medico,Critica,2023-05-15
"Gibson, Lowe and Lawson",Tecnologia,Uruguay,25000,BR-00206,2023-06-21,2023-09-25,Ransomware,Critica,3335953,22132125.87,US-006573,user_bryanbutler_6572,a4f9eeab6e22a84cbd0505506906da1c,Costa Rica,2023-07-25,Historial de Transacciones,Alta,2023-11-22
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00083,2025-11-03,2026-01-06,Explotacion de Vulnerabilidad Sin Parche,Critica,3946632,414406.06,US-006379,user_amanda08_6378,222934c403815440665675a8be79b75d,Colombia,2025-11-09,Nombre Completo,Baja,2026-01-19
Perkins Inc,Telecomunicaciones,Costa Rica,10000,BR-00472,2026-01-08,2026-06-13,Configuracion Erronea de Servidor,Baja,2054570,19792601.12,US-000349,user_evannavarro_348,1da4f5a950cce0882bf408bce354c168,Costa Rica,2019-04-02,Correo Electronico,Media,2026-08-23
Freeman-Martin,Educacion,Colombia,2500,BR-00551,2023-06-25,2023-08-24,Configuracion Erronea de Servidor,Media,3605754,13137828.72,US-007228,user_jessica04_7227,29b3ed7f74994d4e62374dfe6b26404e,Chile,2025-07-01,Fecha de Nacimiento,Baja,2023-09-20
Harris-Allen,Retail,Mexico,25000,BR-00544,2024-07-22,2024-10-08,Phishing,Media,4204785,15240316.29,US-001514,user_eyu_1513,eb99d7e9f1034f5c5f4deaf66b0f586d,Argentina,2020-02-05,Historial Medico,Critica,2025-01-06
Hunt PLC,Finanzas,Ecuador,100,BR-00456,2022-10-31,2023-05-18,Ataque a Cadena de Suministro,Baja,1030594,22436353.58,US-005023,user_zburton_5022,c046ec453bfdc8f5cb75e73133397008,Uruguay,2020-10-19,Correo Electronico,Media,2023-07-02
Lynn-Garcia,Energia,Mexico,25000,BR-00571,2022-05-10,2022-09-09,Explotacion de Vulnerabilidad Sin Parche,Baja,238123,19306851.33,US-007247,user_denisehurley_7246,64a2327913e7a161552bde146f97678a,Colombia,2024-01-25,Numero Telefonico,Baja,2022-10-14
Mccormick PLC,Tecnologia,Colombia,1000,BR-00038,2025-12-25,2026-04-22,Ataque de Fuerza Bruta,Baja,4555049,12110373.6,US-000862,user_lroberts_861,ca9ddf09d0fa23756ea77f40e7c76fab,Argentina,2022-07-09,Historial Medico,Critica,2026-05-02
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00611,2023-08-01,2023-08-26,Ransomware,Baja,2209043,5693408.11,US-004263,user_qgonzalez_4262,09e570c81fe8978945620d6ba75c0781,Panama,2019-03-05,Historial Medico,Critica,2023-11-23
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00192,2024-01-03,2024-05-23,Configuracion Erronea de Servidor,Baja,760818,17495533.41,US-005487,user_leebrandon_5486,0680e7fefa46e8e0ac6b2d75aa65d423,Espana,2022-05-15,Historial de Transacciones,Alta,2024-06-24
"Boone, Cole and Aguilar",Retail,Peru,2500,BR-00778,2022-04-17,2022-10-20,Phishing,Baja,4053438,11235097.04,US-001731,user_gary29_1730,8e476a7ce63f4f61da7439c9e0030fc0,Ecuador,2018-12-04,Correo Electronico,Media,2022-11-14
Hughes LLC,Tecnologia,Argentina,25000,BR-00231,2023-10-03,2024-03-03,Insider Malicioso,Critica,4373969,14689506.93,US-002870,user_otate_2869,a342ba10b6907d6708209de058ee5e31,Mexico,2021-08-16,Direccion Fisica,Media,2024-04-03
Martinez Ltd,Retail,Estados Unidos,100,BR-00744,2022-01-04,2022-08-19,Configuracion Erronea de Servidor,Baja,1146257,18430997.97,US-005061,user_stephenolson_5060,6c45872103e4a7b9ded35c838792a045,Costa Rica,2019-02-24,Numero Telefonico,Baja,2022-08-23
Walton LLC,Salud,Espana,2500,BR-00681,2026-07-26,2026-09-22,Ataque a Cadena de Suministro,Baja,1870438,6691195.7,US-007299,user_storres_7298,146fc1006843647604668a88660fd17a,Brasil,2019-11-01,Contrasena,Alta,2026-09-22
Hughes LLC,Tecnologia,Argentina,25000,BR-00159,2024-01-19,2024-02-25,Ataque de Fuerza Bruta,Baja,125843,13754681.19,US-003266,user_ywilliams_3265,b9287f4279383ee1b6a795cd17fd25f8,Ecuador,2022-07-16,Numero de Tarjeta de Credito,Critica,2024-04-21
"Jefferson, Smith and Wilkerson",Telecomunicaciones,Peru,10000,BR-00057,2024-11-17,2025-07-05,Insider Malicioso,Baja,3896118,4281933.07,US-003855,user_jasonwilkerson_3854,b781a0856769fe53e38fdb3772b0a78c,Costa Rica,2025-07-18,Nombre Completo,Baja,2025-09-09
Adams-Fowler,Tecnologia,Brasil,100,BR-00073,2025-12-17,2026-02-21,Ransomware,Critica,2053175,11411639.02,US-006465,user_aaronreid_6464,43b18a2a3adb79a41b78b828f99fa116,Panama,2025-09-28,Contrasena,Alta,2026-05-18
"Jefferson, Smith and Wilkerson",Telecomunicaciones,Peru,10000,BR-00725,2023-05-22,2023-09-04,Insider Malicioso,Alta,3731117,24000996.67,US-002436,user_cantulinda_2435,9b2af9b3b65e76b551514d4958325292,Uruguay,2017-04-03,Contrasena,Alta,2023-09-08
