nombre_organizacion,sector_organizacion,pais_organizacion,tamano_empleados_organizacion,codigo_brecha,fecha_ocurrencia,fecha_deteccion,vector_ataque,severidad_incidente,registros_afectados_total,costo_estimado_total,codigo_usuario,pseudonimo_usuario,email_hash_usuario,pais_residencia_usuario,fecha_registro_usuario,tipo_dato_expuesto,categoria_sensibilidad_dato,fecha_notificacion_usuario
"Acosta, Williams and Mcmillan",Energia,Costa Rica,25000,BR-00064,2025-12-25,2026-06-18,Credenciales Filtradas de Terceros,Media,2633817,16738625.77,US-003030,user_jkoch_3029,f9f341b8dd37a8d27da358af98fdcf34,Peru,2022-02-14,Numero de Tarjeta de Credito,Critica,2026-07-03
Murphy-Mullins,Retail,Ecuador,1000,BR-00594,2023-06-03,2023-08-04,Insider Malicioso,Critica,3206503,24882534.2,US-007896,user_christineford_7895,a60a8cfdc9cfa3f90f434fe0f2716c31,Mexico,2023-10-16,Contrasena,Alta,2023-08-15
Goodman PLC,Turismo,Ecuador,50000,BR-00244,2022-06-12,2023-01-22,Credenciales Filtradas de Terceros,Critica,3802168,15505095.15,US-000095,user_freemanerin_94,678b2fb8913bc3e11b4bd955a813a6ae,Mexico,2023-11-08,Numero de Identificacion,Alta,2023-01-29
Walton LLC,Salud,Espana,2500,BR-00237,2024-04-03,2024-06-09,Configuracion Erronea de Servidor,Baja,3946187,21405853.35,US-004623,user_heidismall_4622,5cd188adf913fb73b952f4f55eb0396e,Uruguay,2018-11-03,Numero Telefonico,Baja,2024-08-30
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00407,2026-07-31,2026-09-22,Inyeccion SQL,Alta,143266,5608707.98,US-004387,user_alexismorrow_4386,2091a13239bf5bef3811525c947a403c,Estados Unidos,2019-11-28,Numero de Tarjeta de Credito,Critica,2026-09-22
"Mitchell, Reyes and Bender",Telecomunicaciones,Ecuador,10000,BR-00204,2024-09-07,2025-01-22,Credenciales Filtradas de Terceros,Alta,1984915,23874507.04,US-005435,user_lmunoz_5434,7b273ed329167ff29c378f216797e167,Costa Rica,2022-12-01,Nombre Completo,Baja,2025-01-26
Cruz PLC,Gobierno,Peru,100,BR-00618,2023-11-26,2024-03-05,Ataque de Fuerza Bruta,Alta,3701024,12862923.1,US-005896,user_melanie01_5895,7f77d81896ccba9da83ebc4a21c55573,Costa Rica,2021-12-12,Numero de Tarjeta de Credito,Critica,2024-03-11
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00089,2022-12-21,2023-06-16,Ataque de Fuerza Bruta,Baja,3761150,14249832.12,US-002896,user_christopherwilliams_2895,19d56efece0c11677c6eb124e8861803,Mexico,2025-05-29,Historial de Transacciones,Alta,2023-07-30
Murphy-Mullins,Retail,Ecuador,1000,BR-00425,2022-09-10,2022-10-25,Ataque de Fuerza Bruta,Alta,895883,13139069.43,US-000273,user_fosterrenee_272,4fddc2a42afee6ed4fa672803dc8ef1f,Peru,2023-07-16,Nombre Completo,Baja,2022-12-13
"Murphy, Ashley and Hutchinson",Salud,Ecuador,10000,BR-00342,2024-01-07,2024-06-14,Malware,Media,4918060,9665633.84,US-000724,user_nunezandrew_723,f61e7218b2b84f57e6b3b134d2546126,Panama,2018-10-20,Contrasena,Alta,2024-07-29
Gallegos-Wilkerson,Salud,Panama,25000,BR-00525,2024-06-20,2025-01-26,Ransomware,Critica,312524,19280835.99,US-006889,user_johnsoncharles_6888,7d4fcf20b59271ef2702cd4449e776d7,Mexico,2020-04-09,Historial Medico,Critica,2025-02-06
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00434,2022-04-14,2022-07-08,Configuracion Erronea de Servidor,Baja,2628545,15845713.62,US-001425,user_derrick42_1424,b0deb5e8fdb6b72bd3c6acd12f36a20d,Costa Rica,2022-06-14,Historial de Transacciones,Alta,2022-09-29
Little-Garcia,Manufactura,Panama,50,BR-00103,2025-04-25,2025-11-08,Ataque a Cadena de Suministro,Alta,614786,18352948.44,US-005602,user_cameronholland_5601,b0486cd598150e42117c6409f72907c0,Chile,2016-11-14,Historial de Transacciones,Alta,2025-12-17
"Fox, Odom and Colon",Retail,Chile,50000,BR-00096,2022-10-26,2023-02-25,Credenciales Filtradas de Terceros,Critica,907535,3937386.49,US-000667,user_obennett_666,121dcaedc5f5f9c8187cf4d1edd51c3a,Uruguay,2020-11-06,Numero de Identificacion,Alta,2023-05-10
"Mills, Li and Brooks",Finanzas,Espana,1000,BR-00390,2024-09-05,2024-10-07,Ataque a Cadena de Suministro,Critica,1264864,440497.93,US-007950,user_jacquelinewhite_7949,93f53992d9dd0f5621a0e0675ad6ca99,Espana,2025-11-12,Historial Medico,Critica,2024-11-14
"Murphy, Ashley and Hutchinson",Salud,Ecuador,10000,BR-00708,2024-04-27,2024-11-08,Insider Malicioso,Alta,3386461,2256550.02,US-003538,user_laurie77_3537,51ea43e109314ce68fda4bb26a1f34e5,Estados Unidos,2021-12-17,Direccion Fisica,Media,2025-01-28
Vargas PLC,Gobierno,Brasil,100,BR-00775,2024-12-17,2025-03-03,Explotacion de Vulnerabilidad Sin Parche,Alta,45067,19492292.53,US-003565,user_millersamantha_3564,a319f5aaeb272b73d66a2fe45e64cd9d,Argentina,2018-03-26,Numero de Identificacion,Alta,2025-05-28
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00232,2026-07-14,2026-09-22,Phishing,Media,3531658,23299105.34,US-003756,user_xalvarez_3755,023bf16ed84552f803fb94fa7f5f6d28,Uruguay,2018-02-24,Numero de Tarjeta de Credito,Critica,2026-09-22
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00411,2025-10-04,2025-11-27,Ataque de Fuerza Bruta,Alta,847172,2556557.89,US-003762,user_rebeccabrown_3761,3088c7fc93eb35be608dd022b151747a,Ecuador,2021-09-13,Contrasena,Alta,2026-02-21
"Fox, Odom and Colon",Retail,Chile,50000,BR-00737,2025-04-25,2025-08-07,Ataque a Cadena de Suministro,Critica,3145984,6649359.72,US-005175,user_onguyen_5174,089f3a3feef15d7ab20935dedbc052a9,Panama,2017-12-07,Nombre Completo,Baja,2025-09-16
Bell-Williams,Retail,Colombia,250,BR-00389,2025-11-11,2026-02-18,Configuracion Erronea de Servidor,Baja,3762758,20114508.31,US-006838,user_angelasmith_6837,6c9325d110d743619c557ca5409b1421,Ecuador,2018-07-17,Historial de Transacciones,Alta,2026-02-22
Hunt PLC,Finanzas,Ecuador,100,BR-00679,2025-08-28,2026-01-05,Insider Malicioso,Baja,3598642,17029778.9,US-005053,user_alyssagreen_5052,223fe709fa0a06ae7ed341ef9af884e5,Ecuador,2022-12-09,Numero Telefonico,Baja,2026-02-03
Coleman Ltd,Turismo,Estados Unidos,50000,BR-00487,2026-06-29,2026-09-22,Ataque a Cadena de Suministro,Media,153477,6187621.55,US-000517,user_bwatts_516,e03f6af9ba1e059ccc626e3caf545d38,Panama,2022-08-15,Numero Telefonico,Baja,2026-09-22
Murphy-Mullins,Retail,Ecuador,1000,BR-00090,2025-01-18,2025-07-26,Inyeccion SQL,Critica,1075702,19266171.79,US-001735,user_barajasjessica_1734,58b920b34534d2f40681dee6949a2b0b,Uruguay,2026-04-28,Numero de Tarjeta de Credito,Critica,2025-10-12
"Murphy, Ashley and Hutchinson",Salud,Ecuador,10000,BR-00105,2023-05-30,2023-12-10,Ataque de Fuerza Bruta,Baja,3982557,8343808.12,US-002512,user_vrobinson_2511,7d9d572a1d314355269c0a4f4ed9fb0e,Ecuador,2019-11-19,Numero Telefonico,Baja,2024-01-30
Davis-Kelley,Energia,Colombia,250,BR-00273,2024-09-20,2024-09-27,Malware,Media,4722724,18390048.95,US-003485,user_aaronwilson_3484,7f6c4fd02256651ef24c7e4a18d35a68,Uruguay,2019-09-13,Numero de Tarjeta de Credito,Critica,2024-10-01
Walton LLC,Salud,Espana,2500,BR-00616,2024-07-24,2024-11-18,Credenciales Filtradas de Terceros,Critica,1032109,19272244.32,US-006616,user_ffisher_6615,2c426ff0ca62ba139645682f4eabc8e0,Chile,2016-09-28,Historial Medico,Critica,2024-12-04
"Glover, Dunn and Barker",Telecomunicaciones,Ecuador,1000,BR-00685,2022-10-20,2023-01-19,Malware,Critica,2106641,11305577.86,US-007152,user_jacobalvarez_7151,12713b4095becf4bbda9b1e9f000e73b,Brasil,2026-03-09,Direccion Fisica,Media,2023-02-16
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00089,2022-12-21,2023-06-16,Ataque de Fuerza Bruta,Baja,3761150,14249832.12,US-004795,user_chadparker_4794,2433f0a43e6ceba75052c5633c983ae3,Peru,2024-10-15,Correo Electronico,Media,2023-06-29
Gallegos-Wilkerson,Salud,Panama,25000,BR-00133,2025-11-16,2026-03-14,Ataque de Fuerza Bruta,Critica,1420151,22434273.22,US-007890,user_rcarter_7889,cc1d85a0740c938025634b637ace31eb,Estados Unidos,2022-12-15,Numero de Identificacion,Alta,2026-04-24
Reed Group,Salud,Colombia,25000,BR-00405,2022-04-06,2022-05-02,Insider Malicioso,Alta,1462344,10763715.2,US-003965,user_matthewwalter_3964,b0346a32b51f790e17f32959cbb82655,Espana,2021-07-16,Historial Medico,Critica,2022-06-03
"Mitchell, Reyes and Bender",Telecomunicaciones,Ecuador,10000,BR-00590,2025-05-29,2025-06-02,Explotacion de Vulnerabilidad Sin Parche,Media,3687974,8260219.9,US-005992,user_rebeccaperry_5991,37c74559c84585dd75fe9b7d9b49c04c,Brasil,2026-03-30,Fecha de Nacimiento,Baja,2025-06-03
Brown and Sons,Tecnologia,Chile,100,BR-00352,2024-12-11,2025-01-30,Malware,Media,3218762,2005316.57,US-004473,user_anthonyking_4472,50c76f059e6311c706cfeede05beaf76,Peru,2023-11-13,Numero de Identificacion,Alta,2025-04-27
Freeman-Martin,Educacion,Colombia,2500,BR-00551,2023-06-25,2023-08-24,Configuracion Erronea de Servidor,Media,3605754,13137828.72,US-001095,user_westsara_1094,61ebe2400dbac48822bc348a2864e2ff,Uruguay,2019-09-10,Fecha de Nacimiento,Baja,2023-10-07
"Mason, Hanson and Graham",Gobierno,Chile,5000,BR-00623,2021-11-08,2022-03-09,Credenciales Filtradas de Terceros,Baja,4891932,14874044.02,US-001032,user_meyerjuan_1031,7cc3a54815c02af9e00b7098ca52123f,Colombia,2022-10-09,Nombre Completo,Baja,2022-05-23
Walton LLC,Salud,Espana,2500,BR-00237,2024-04-03,2024-06-09,Configuracion Erronea de Servidor,Baja,3946187,21405853.35,US-003799,user_buckleysteven_3798,1230b91e872a7a5b4b00a61ca71320bd,Colombia,2024-08-12,Contrasena,Alta,2024-08-08
Cruz PLC,Gobierno,Peru,100,BR-00417,2026-01-24,2026-04-19,Phishing,Alta,2653998,23720488.27,US-002593,user_john97_2592,0b56a5dcac8703401a3e84016049c1d5,Ecuador,2020-05-10,Numero de Identificacion,Alta,2026-06-15
Freeman-Martin,Educacion,Colombia,2500,BR-00470,2024-08-27,2024-11-25,Phishing,Media,4740393,17364534.51,US-001480,user_qbryant_1479,561ad8549390ee0ed4363930ac912a4f,Uruguay,2024-11-28,Correo Electronico,Media,2025-02-05
"Weaver, Garcia and Hunter",Tecnologia,Espana,50,BR-00328,2024-08-15,2024-10-20,Phishing,Alta,493630,5516918.29,US-004838,user_barbararuiz_4837,02f1aadb6a6a297aeb68412af1dec176,Costa Rica,2019-12-15,Numero de Tarjeta de Credito,Critica,2025-01-01
Shaw Group,Manufactura,Uruguay,25000,BR-00416,2023-04-02,2023-06-27,Phishing,Media,1666178,9388675.1,US-002959,user_earias_2958,2835023647f2c1307f453765a66f8de3,Mexico,2021-01-12,Correo Electronico,Media,2023-06-28
Martinez Ltd,Retail,Estados Unidos,100,BR-00151,2022-05-17,2022-06-28,Inyeccion SQL,Baja,1098012,18771205.69,US-007818,user_jackbaker_7817,766f2032989af7ba61d8ac348f2115a8,Ecuador,2020-09-22,Fecha de Nacimiento,Baja,2022-08-27
Johnson Group,Tecnologia,Uruguay,50000,BR-00358,2026-04-12,2026-07-17,Explotacion de Vulnerabilidad Sin Parche,Media,3299384,15751931.49,US-004062,user_xhernandez_4061,8390c0a777bdad563e4291678d65efe6,Colombia,2023-11-23,Correo Electronico,Media,2026-09-12
"Gibson, Lowe and Lawson",Tecnologia,Uruguay,25000,BR-00206,2023-06-21,2023-09-25,Ransomware,Critica,3335953,22132125.87,US-006573,user_bryanbutler_6572,a4f9eeab6e22a84cbd0505506906da1c,Costa Rica,2023-07-25,Contrasena,Alta,2023-12-22
Brown and Sons,Tecnologia,Chile,100,BR-00423,2024-10-15,2025-04-14,Phishing,Media,1614929,5609223.46,US-005585,user_sarah64_5584,1498543049aae4f80d0bbcc5e4f78005,Panama,2017-11-30,Direccion Fisica,Media,2025-04-23
Freeman-Martin,Educacion,Colombia,2500,BR-00771,2025-01-11,2025-05-09,Configuracion Erronea de Servidor,Critica,2896858,24127384.17,US-007611,user_raustin_7610,4319906156901ff900734e0b685100e5,Brasil,2024-06-13,Direccion Fisica,Media,2025-08-07
Lynn-Garcia,Energia,Mexico,25000,BR-00088,2021-11-10,2021-12-20,Inyeccion SQL,Baja,4928216,9267765.57,US-001010,user_lrobinson_1009,8bbe8581586c61495f5d4039065f3387,Uruguay,2019-12-24,Direccion Fisica,Media,2022-01-28
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00063,2025-01-30,2025-04-05,Phishing,Alta,2252587,13582057.95,US-003648,user_phillipstimothy_3647,1b9a1034b030d47a61e0fc1c5808bb60,Argentina,2022-01-19,Fecha de Nacimiento,Baja,2025-04-18
Wood-Clarke,Telecomunicaciones,Panama,1000,BR-00238,2023-11-14,2024-06-23,Insider Malicioso,Critica,1344599,18855517.13,US-003233,user_ryanward_3232,b418b694ac941308e195b90303292f5c,Espana,2023-03-15,Nombre Completo,Baja,2024-08-25
Kemp-Perez,Finanzas,Costa Rica,100,BR-00132,2023-04-08,2023-11-18,Ransomware,Baja,1214439,22802647.17,US-001967,user_ibaxter_1966,d012a3791c337f23c8d18ac6f6077209,Chile,2025-06-25,Nombre Completo,Baja,2024-02-03
"Brown, George and Hernandez",Manufactura,Costa Rica,5000,BR-00290,2023-07-22,2024-01-12,Ataque de Fuerza Bruta,Alta,4634111,24026275.92,US-003929,user_johnallen_3928,2e673bfc7d1a2667350ab1a645ee7d75,Estados Unidos,2023-08-14,Historial de Transacciones,Alta,2024-02-08
"Weaver, Garcia and Hunter",Tecnologia,Espana,50,BR-00278,2024-07-20,2025-01-15,Phishing,Critica,1859799,12135314.4,US-001690,user_alexandermcintosh_1689,b0ec147be2b012320d9b88794a84ffb7,Espana,2022-04-19,Historial Medico,Critica,2025-01-23
Adams-Fowler,Tecnologia,Brasil,100,BR-00610,2023-05-13,2023-11-23,Ransomware,Media,1482678,7376423.38,US-002664,user_stonecheryl_2663,40cc71d05e2d75ab1417ac415e6a4433,Espana,2022-01-16,Contrasena,Alta,2023-12-04
"Acosta, Williams and Mcmillan",Energia,Costa Rica,25000,BR-00380,2023-03-01,2023-09-09,Explotacion de Vulnerabilidad Sin Parche,Media,1264147,21798496.48,US-003765,user_rbutler_3764,049c3e7362ccff207cfde9994597c12a,Espana,2021-08-17,Correo Electronico,Media,2023-12-03
Baker-Stewart,Telecomunicaciones,Argentina,100,BR-00534,2025-08-20,2025-11-21,Phishing,Baja,1865532,12582776.65,US-006470,user_wilsonjasmine_6469,81915b8bcac45e88330fad75cb4603e0,Panama,2026-08-04,Numero de Tarjeta de Credito,Critica,2025-12-12
"Stephens, Hayes and Holmes",Telecomunicaciones,Argentina,250,BR-00545,2025-05-22,2025-11-21,Malware,Alta,4436124,12290371.78,US-003025,user_reynoldswilliam_3024,d56b74359a44d44eb3862ee0b8187500,Brasil,2025-11-19,Historial de Transacciones,Alta,2025-12-24
Reed-Weiss,Gobierno,Uruguay,100,BR-00436,2023-03-21,2023-08-02,Explotacion de Vulnerabilidad Sin Parche,Alta,4134980,21962452.59,US-000407,user_katiestone_406,e6755d22dfa17141e0ad7ffd9f6f6807,Panama,2023-12-27,Historial de Transacciones,Alta,2023-08-11
"Chambers, Ward and Melendez",Gobierno,Mexico,25000,BR-00722,2024-06-20,2024-09-08,Credenciales Filtradas de Terceros,Critica,4579372,21827408.47,US-000684,user_hughesnicholas_683,8880f78a3e43c979e61ef9aad7a32a01,Estados Unidos,2026-07-08,Correo Electronico,Media,2024-10-23
"Cline, Hampton and Perez",Retail,Colombia,1000,BR-00460,2024-07-25,2024-12-12,Ataque de Fuerza Bruta,Baja,2104170,24292151.23,US-002841,user_rebecca03_2840,24671be0dcdd652b8c1876afff7a65fa,Mexico,2018-12-18,Correo Electronico,Media,2025-01-09
"Murphy, Ashley and Hutchinson",Salud,Ecuador,10000,BR-00726,2024-06-09,2024-07-23,Insider Malicioso,Media,3843358,23693458.39,US-000724,user_nunezandrew_723,f61e7218b2b84f57e6b3b134d2546126,Panama,2018-10-20,Numero de Tarjeta de Credito,Critica,2024-08-18
"Boone, Cole and Aguilar",Retail,Peru,2500,BR-00125,2023-03-15,2023-06-17,Credenciales Filtradas de Terceros,Alta,3622845,23285733.82,US-000176,user_ewingpatricia_175,8da4c757720436cea55a4316811f7662,Peru,2017-08-09,Correo Electronico,Media,2023-08-17
Gallegos-Wilkerson,Salud,Panama,25000,BR-00468,2023-12-29,2024-06-04,Ataque a Cadena de Suministro,Media,972495,11732748.68,US-000130,user_rossthomas_129,54d916486af6d9c9764bcea6461787a6,Costa Rica,2020-11-11,Numero de Tarjeta de Credito,Critica,2024-07-16
"Boyd, Rodriguez and Barnett",Finanzas,Ecuador,50000,BR-00799,2021-10-13,2022-02-15,Insider Malicioso,Alta,3450680,15374815.41,US-002212,user_chadswanson_2211,d53bef04e3d626ce6bdb8314ed925cf8,Colombia,2019-10-30,Historial Medico,Critica,2022-05-06
"Boone, Cole and Aguilar",Retail,Peru,2500,BR-00125,2023-03-15,2023-06-17,Credenciales Filtradas de Terceros,Alta,3622845,23285733.82,US-007435,user_obrienjames_7434,f8a69ba8346dcf53191f8e1391651c71,Chile,2026-02-22,Numero de Tarjeta de Credito,Critica,2023-06-23
Powell Ltd,Gobierno,Brasil,50,BR-00050,2024-07-20,2025-01-05,Configuracion Erronea de Servidor,Alta,3832048,23648604.88,US-006619,user_connorburgess_6618,7e6622d44e370f76431fc73b4950422f,Estados Unidos,2017-06-08,Numero de Tarjeta de Credito,Critica,2025-03-30
Lynn-Garcia,Energia,Mexico,25000,BR-00263,2023-12-14,2024-03-15,Credenciales Filtradas de Terceros,Media,3061009,9692447.7,US-002393,user_xmoore_2392,c09e0024db1a69b4ac4bab112737fdeb,Mexico,2024-07-16,Fecha de Nacimiento,Baja,2024-05-30
"Cline, Hampton and Perez",Retail,Colombia,1000,BR-00613,2023-07-08,2024-01-06,Ataque de Fuerza Bruta,Alta,4240642,10990539.32,US-001085,user_psalazar_1084,6851faa3809acd69fbf887c38f964dc4,Peru,2022-11-25,Historial Medico,Critica,2024-03-02
"Jacobs, Santiago and Phelps",Finanzas,Mexico,50000,BR-00552,2025-07-22,2025-10-24,Explotacion de Vulnerabilidad Sin Parche,Media,1853671,8467708.53,US-005426,user_allenjohnson_5425,cc821b68b5db19142a19e418aeca219b,Argentina,2025-03-31,Historial de Transacciones,Alta,2025-11-30
Miller-Smith,Turismo,Mexico,50,BR-00686,2026-02-21,2026-09-22,Phishing,Baja,847389,14731403.38,US-004047,user_fitzpatrickheather_4046,7ea2ab38d68590e547204b2e4c016116,Chile,2019-11-09,Direccion Fisica,Media,2026-09-22
Miller-Smith,Turismo,Mexico,50,BR-00686,2026-02-21,2026-09-22,Phishing,Baja,847389,14731403.38,US-005658,user_robertsashley_5657,7dd4625646c7f91d198123d65620aeaf,Costa Rica,2026-03-10,Numero de Identificacion,Alta,2026-09-22
"Chambers, Ward and Melendez",Gobierno,Mexico,25000,BR-00664,2026-05-29,2026-09-22,Insider Malicioso,Alta,2316276,19786791.36,US-000237,user_ladams_236,5d66a1169dc1a1013f5df6ecba4ad384,Colombia,2021-07-05,Numero de Identificacion,Alta,2026-09-22
Coleman Ltd,Turismo,Estados Unidos,50000,BR-00777,2025-07-23,2025-09-17,Ataque de Fuerza Bruta,Critica,4685814,18211793.72,US-000487,user_michaeloneill_486,15c803329f27c5b2557cd9da251388ac,Estados Unidos,2022-08-06,Contrasena,Alta,2025-10-08
Harris-Allen,Retail,Mexico,25000,BR-00262,2026-07-28,2026-09-22,Inyeccion SQL,Media,3708157,87575.6,US-007052,user_rebecca12_7051,6149c6d532d0caf48bb3c509a9adc954,Uruguay,2022-03-04,Numero de Tarjeta de Credito,Critica,2026-09-22
Hughes LLC,Tecnologia,Argentina,25000,BR-00478,2026-04-04,2026-07-14,Phishing,Critica,620326,23614561.59,US-007277,user_tammy19_7276,576ab17e7e3ba01ed5bdc365a94491d4,Mexico,2024-11-25,Numero Telefonico,Baja,2026-09-22
Cruz PLC,Gobierno,Peru,100,BR-00529,2025-05-27,2026-01-16,Ransomware,Critica,3750483,16432726.66,US-004915,user_russellheather_4914,96870d4d13c380690a3a1b9d8f241175,Colombia,2020-10-06,Historial Medico,Critica,2026-02-05
"Norton, Foster and Pacheco",Energia,Estados Unidos,1000,BR-00533,2026-07-07,2026-09-22,Explotacion de Vulnerabilidad Sin Parche,Baja,1388578,7059780.03,US-007143,user_rebecca07_7142,d9d51049d554336bcdf5a27493a9a859,Ecuador,2025-11-11,Contrasena,Alta,2026-09-22
"Norton, Foster and Pacheco",Energia,Estados Unidos,1000,BR-00087,2024-11-23,2025-01-09,Ataque a Cadena de Suministro,Baja,608575,9260634.31,US-001074,user_olsonjames_1073,08c1f4d574589f0765f74ac8e56a6bd4,Brasil,2017-09-20,Numero de Tarjeta de Credito,Critica,2025-03-03
Miller-Smith,Turismo,Mexico,50,BR-00372,2022-08-30,2023-03-20,Ransomware,Alta,4681568,18478435.68,US-007386,user_hansonmichelle_7385,1f95d705f84691be46da91b7be53752f,Chile,2023-08-18,Historial de Transacciones,Alta,2023-05-26
Conrad PLC,Gobierno,Peru,50,BR-00688,2026-03-22,2026-06-03,Credenciales Filtradas de Terceros,Media,1797103,23838441.89,US-001620,user_ecarter_1619,3ba4e87e0f181e728c70d4c049155614,Uruguay,2024-07-27,Contrasena,Alta,2026-07-04
Hunt PLC,Finanzas,Ecuador,100,BR-00271,2023-02-25,2023-04-01,Phishing,Alta,189848,6096393.71,US-004592,user_aconrad_4591,86e2c203f6cfa32c182848f2648443d2,Brasil,2021-03-31,Correo Electronico,Media,2023-04-12
"Boone, Cole and Aguilar",Retail,Peru,2500,BR-00778,2022-04-17,2022-10-20,Phishing,Baja,4053438,11235097.04,US-007746,user_anthony31_7745,a2e27f273d78372204e709464539536c,Brasil,2019-02-07,Numero Telefonico,Baja,2022-11-16
